,Text ID,Negative,Neutral,Positive,GPE
0,8476,0.444,0.556,0.0,Tehran
1,10294,0.242,0.645,0.113,USA
2,10142,0.266,0.591,0.143,UK
3,6903,0.0,1.0,0.0,Russia
4,7341,0.226,0.774,0.0,Empire
5,7041,0.146,0.625,0.229,Detroit
6,7623,0.328,0.672,0.0,US
7,7737,0.44,0.4,0.16,Russia
8,8716,0.241,0.502,0.257,USA
9,10348,0.0,0.828,0.172,Russia
10,6155,0.0,1.0,0.0,Hacking
11,5743,0.302,0.605,0.093,Russia
12,7808,0.0,0.795,0.205,US
13,6484,0.0,0.707,0.293,Iowa
14,7385,0.0,0.756,0.244,Maryland
15,9016,0.134,0.866,0.0,Iraq
16,9324,0.0,0.825,0.175,U.S.
17,8983,0.0,1.0,0.0,Britain
18,8965,0.0,1.0,0.0,Syria
19,5580,0.333,0.667,0.0,Mercy
20,9757,0.315,0.685,0.0,UKIP
21,5955,0.0,1.0,0.0,Strasbourg
22,7455,0.228,0.468,0.304,US
23,7793,0.316,0.506,0.177,Mosul
24,9403,0.1,0.849,0.05,Syria
25,5931,0.237,0.763,0.0,US
26,5937,0.318,0.682,0.0,China
27,7277,0.0,1.0,0.0,America
28,5521,0.0,1.0,0.0,Islamabad
29,9360,0.0,1.0,0.0,North Carolina
30,6646,0.272,0.728,0.0,Russia
31,7540,0.0,1.0,0.0,America
32,8212,0.0,0.833,0.167,Russia
33,6197,0.0,1.0,0.0,USA
34,6061,0.0,0.723,0.277,Banana Republic
35,9545,0.0,1.0,0.0,Russia
36,7744,0.0,1.0,0.0,U.S.
37,8177,0.0,1.0,0.0,Iran
38,7049,0.0,1.0,0.0,Vagina
39,7801,0.0,1.0,0.0,Israel
40,10232,0.18,0.82,0.0,US
41,8290,0.061,0.939,0.0,America
42,6227,0.0,1.0,0.0,LA
43,5316,0.0,0.763,0.237,Philly
44,5530,0.0,1.0,0.0,Portland
45,7680,0.592,0.408,0.0,Coconut Creek
46,10490,0.0,0.348,0.652,Mosul
47,9413,0.0,0.769,0.231,Oregon
48,8685,0.547,0.0,0.453,Washington
49,6763,0.2,0.8,0.0,Russia
50,7730,0.164,0.621,0.215,Taoiseach
51,7362,0.107,0.611,0.282,Alabama
52,7513,0.0,1.0,0.0,Texas
53,6247,0.141,0.859,0.0,Syria
54,6025,0.358,0.642,0.0,Russia
55,10122,0.585,0.415,0.0,U.S.
56,9398,0.0,0.898,0.102,US
57,10427,0.0,0.701,0.299,Maryland
58,7099,0.0,1.0,0.0,Israel
59,8013,0.0,1.0,0.0,India
60,10092,0.0,1.0,0.0,Russia
61,9121,0.0,1.0,0.0,India
62,8122,0.489,0.511,0.0,Syria
63,8988,0.0,0.833,0.167,Calais
64,8682,0.233,0.679,0.088,France
65,6350,0.0,0.775,0.225,Montenegro
66,7818,0.0,1.0,0.0,US
67,6408,0.0,1.0,0.0,India
68,8357,0.175,0.825,0.0,US
69,10511,0.0,1.0,0.0,Turkey
70,8322,0.0,1.0,0.0,Russia
71,6212,0.0,0.856,0.144,Kiev
72,6920,0.0,0.75,0.25,US
73,9468,0.0,0.851,0.149,Homs Province
74,6460,0.145,0.855,0.0,Amurexit
75,6809,0.0,1.0,0.0,Orlando
76,6527,0.333,0.43,0.237,Palestine
77,9447,0.078,0.782,0.14,US
78,7256,0.0,1.0,0.0,Afghanistan
79,7228,0.351,0.649,0.0,The United States
